16:31:24.767	13.7	0.7	22	2021-10-19 8:31:22.0	12117.18238	3115.38239	332.29	16.81616	收敛完成,进入组合导航状态
16:31:25.768	13.7	0.7	22	2021-10-19 8:31:23.0	12117.18124	3115.38480	334.24	16.7606	收敛完成,进入组合导航状态	
16:31:26.757	13.7	0.7	22	2021-10-19 8:31:24.0	12117.18014	3115.38737	337.44	17.90884	收敛完成,进入组合导航状态	
16:31:27.766	13.8	0.7	22	2021-10-19 8:31:25.0	12117.17912	3115.39014	339.67	18.55704	收敛完成,进入组合导航状态	
16:31:28.767	13.8	0.7	22	2021-10-19 8:31:26.0	12117.17808	3115.39304	341.68	19.79788	收敛完成,进入组合导航状态	
16:31:29.770	13.8	0.7	22	2021-10-19 8:31:27.0	12117.17699	3115.39611	341.87	20.76092	收敛完成,进入组合导航状态	
16:31:30.769	13.8	0.7	22	2021-10-19 8:31:28.0	12117.17588	3115.39924	342.01	21.4832	收敛完成,进入组合导航状态	
16:31:31.755	13.8	0.7	22	2021-10-19 8:31:29.0	12117.17476	3115.40248	342.15	22.14992	收敛完成,进入组合导航状态	
16:31:32.757	13.8	0.7	22	2021-10-19 8:31:30.0	12117.17367	3115.40562	342.33	22.3166	收敛完成,进入组合导航状态	
16:31:33.761	13.8	0.7	22	2021-10-19 8:31:31.0	12117.17263	3115.40865	342.48	21.46468	收敛完成,进入组合导航状态	
16:31:34.755	13.8	0.7	22	2021-10-19 8:31:32.0	12117.17163	3115.41158	342.56	20.7424	收敛完成,进入组合导航状态	
16:31:35.757	13.8	0.7	22	2021-10-19 8:31:33.0	12117.17062	3115.41451	342.58	20.20532	收敛完成,进入组合导航状态	
16:31:36.758	13.8	0.7	22	2021-10-19 8:31:34.0	12117.16963	3115.41744	342.61	20.40904	收敛完成,进入组合导航状态	
16:31:37.754	13.9	0.7	22	2021-10-19 8:31:35.0	12117.16864	3115.42034	342.66	20.1868	收敛完成,进入组合导航状态	
16:31:38.763	13.9	0.7	22	2021-10-19 8:31:36.0	12117.16762	3115.42324	342.52	20.14976	收敛完成,进入组合导航状态	
16:31:39.762	13.9	0.7	22	2021-10-19 8:31:37.0	12117.16661	3115.42608	342.35	20.07568	收敛完成,进入组合导航状态	
16:31:40.757	13.9	0.7	22	2021-10-19 8:31:38.0	12117.16556	3115.42897	342.19	19.92752	收敛完成,进入组合导航状态	
16:31:41.757	13.9	0.7	22	2021-10-19 8:31:39.0	12117.16452	3115.43185	342.03	20.13124	收敛完成,进入组合导航状态	
16:31:42.758	13.9	0.7	22	2021-10-19 8:31:40.0	12117.16348	3115.43473	342.02	19.83492	收敛完成,进入组合导航状态	
16:31:43.757	14	0.7	22	2021-10-19 8:31:41.0	12117.16241	3115.43773	342.16	20.52016	收敛完成,进入组合导航状态	
16:31:44.761	14	0.7	22	2021-10-19 8:31:42.0	12117.16137	3115.44064	342.38	20.66832	收敛完成,进入组合导航状态	
16:31:45.755	14	0.7	22	2021-10-19 8:31:43.0	12117.16038	3115.44358	342.7	20.24236	收敛完成,进入组合导航状态	
16:31:46.756	14.1	0.7	22	2021-10-19 8:31:44.0	12117.15942	3115.44642	343.04	20.13124	收敛完成,进入组合导航状态	
16:31:47.757	14	0.7	22	2021-10-19 8:31:45.0	12117.15847	3115.44919	343.09	19.48304	收敛完成,进入组合导航状态	
16:31:48.755	14	0.7	22	2021-10-19 8:31:46.0	12117.15755	3115.45193	343.11	19.22376	收敛完成,进入组合导航状态	
16:31:49.759	14	0.7	22	2021-10-19 8:31:47.0	12117.15661	3115.45474	343.19	18.92744	收敛完成,进入组合导航状态	
16:31:50.758	14	0.7	22	2021-10-19 8:31:48.0	12117.15564	3115.45757	343.32	19.6312	收敛完成,进入组合导航状态	
16:31:51.763	14	0.7	22	2021-10-19 8:31:49.0	12117.15469	3115.46030	343.12	19.40896	收敛完成,进入组合导航状态	
16:31:52.759	14	0.7	22	2021-10-19 8:31:50.0	12117.15373	3115.46305	342.81	19.14968	收敛完成,进入组合导航状态	
16:31:53.777	14	0.7	22	2021-10-19 8:31:51.0	12117.15276	3115.46577	342.53	18.983	收敛完成,进入组合导航状态	
16:31:54.775	13.9	0.7	22	2021-10-19 8:31:52.0	12117.15180	3115.46849	342.32	19.00152	收敛完成,进入组合导航状态	
16:31:55.775	14	0.7	22	2021-10-19 8:31:53.0	12117.15082	3115.47122	342.24	18.96448	收敛完成,进入组合导航状态	
