x,y
0,0
0,0
0,0
0,0
0.555555556,0.5543422
1.111111111,1.520213845
2.222222222,2.601223678
3.055555556,3.374652116
3.888888889,3.79475046
4.166666667,4.528941054
5,5.609811733
5.833333333,6.718064625
6.944444444,7.775116062
8.055555556,8.43762352
8.611111111,8.68373846
8.888888889,8.735732252
8.888888889,8.78107049
8.888888889,8.819753174
8.888888889,8.888494031
8.888888889,8.960117202
8.888888889,9.008038832
8.888888889,9.024557325
8.888888889,8.998768234
8.888888889,9.055678005
8.888888889,9.125145373
8.888888889,9.181577535
8.888888889,9.221019521
8.888888889,9.263692929
8.888888889,9.301388274
8.888888889,9.309132685
8.888888889,9.297755498
8.888888889,9.323456375
8.888888889,9.367069611
8.888888889,9.365360525
8.888888889,9.318329117
8.888888889,9.276078142
8.888888889,9.239782227
8.888888889,8.897615041
8.333333333,8.306734515
7.777777778,7.738160961
7.222222222,7.193368632
6.666666667,6.633839111
6.111111111,6.057270181
5.555555556,5.45121888
5,4.845367067
4.444444444,4.236920082
3.888888889,3.630986137
3.055555556,3.032886123
2.5,2.459519963
1.944444444,1.891425934
1.666666667,1.379696502
1.111111111,1.187768805
0.833333333,1.010383225
0.555555556,0.769307361
0.277777778,0.532497262
0.277777778,0.35586855
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.277777778,0.462272243
0.833333333,1.112095635
1.388888889,2.15625473
2.5,3.222674976
3.611111111,4.309308222
4.722222222,5.396841109
5.833333333,6.486140898
6.944444444,7.375027516
7.777777778,7.843857116
8.055555556,7.981274581
8.333333333,8.048168574
8.333333333,8.044539094
8.333333333,8.054872413
8.333333333,8.071794616
8.333333333,8.087205929
8.333333333,8.112058645
8.333333333,8.138551606
8.333333333,8.134930506
8.333333333,8.112016693
8.333333333,8.084239925
8.333333333,8.071874464
8.333333333,8.048707559
8.333333333,8.018270586
8.333333333,7.993458511
8.333333333,7.962093893
8.333333333,7.89374306
8.333333333,7.854672819
8.333333333,7.813159542
8.333333333,7.769109608
8.333333333,7.732212115
8.333333333,7.677505962
8.333333333,7.674982839
8.333333333,7.671463231
8.333333333,7.634243412
8.333333333,7.568802965
8.333333333,7.174230458
8.055555556,6.529490753
7.222222222,5.928247304
6.666666667,5.340981137
6.111111111,4.777949395
5.555555556,4.202938957
5.277777778,3.62420504
4.722222222,3.033845679
4.166666667,2.432937271
3.611111111,1.831673749
3.055555556,1.238147578
2.5,0.641631578
1.944444444,0.066375136
1.666666667,0.383522056
0.833333333,0.597776424
0.833333333,0.823043331
0.555555556,1.092447687
0.277777778,1.350181255
0.277777778,1.524393008
0,0
0,0
0,0
